w_j; w_j-1; w_j-2; weight coefficient
 2*omega; -omega - 3; 2*omega - 1; -2*omega
 -2*omega - 4; 2*omega - 2; ; 2*omega + 1
 -omega - 2; 1; -omega + 1; omega + 1
 2*omega - 1; -omega + 1; omega - 2; -omega + 1
 omega - 1; -1; -2*omega; -omega
 -2*omega - 3; -omega; -1; 2*omega + 1
 -3; -1; -4; omega + 1
 2*omega; -omega - 3; -omega - 3; -omega
 -omega - 3; 2*omega; -2*omega - 2; omega
 -2*omega - 4; -omega; -2*omega - 1; 2*omega + 1
 -2; -2*omega - 4; ; 1
 2*omega - 1; 2*omega; omega - 2; -omega
 omega - 2; -omega - 4; 2*omega - 2; -omega + 1
 -1; -omega; -2*omega - 1; 0
 -1; -2*omega - 1; -omega; 1
 -2*omega - 2; omega + 1; 2*omega + 1; omega
 omega - 2; -omega - 3; omega + 2; -omega + 1
 -2*omega - 2; -omega - 4; 2*omega; 0
 -omega - 2; -2*omega - 2; -omega - 3; 0
 -omega; -2; -1; -1
 -omega - 4; -2*omega - 2; omega - 1; omega + 1
 omega - 3; 2*omega - 1; -4; omega + 1
 -2*omega - 4; omega - 2; -2*omega - 2; 2*omega + 1
 1; omega + 1; -2*omega - 2; -1
 -omega - 2; omega + 2; -3; omega + 1
 -3; 0; -omega - 4; omega + 1
 -2*omega - 1; omega - 2; 1; omega - 1
 -2*omega - 4; omega - 3; -1; omega + 1
 0; -2*omega - 2; -omega - 2; -omega
 2*omega + 1; -2*omega - 2; -1; -2*omega
 -2*omega; 1; -omega - 4; omega - 1
 omega - 2; 2*omega - 1; 2*omega - 2; 1
 omega - 1; 1; -2*omega - 4; 1
 -omega - 3; -2*omega - 3; -2*omega - 2; omega + 1
 -4; -2*omega - 2; -2*omega - 4; 1
 omega + 2; -2*omega - 1; omega - 2; -omega
 omega - 1; omega - 2; omega + 1; -omega
 -3; omega - 2; omega - 3; omega + 1
 2*omega + 2; 0; -4; -omega - 1
 2*omega; -2*omega - 1; -omega; -omega + 1
 omega + 2; -2*omega - 3; -4; -2*omega - 1
 0; -2*omega - 3; -2*omega - 4; -omega
 -2*omega - 2; -2*omega - 2; -omega - 4; omega
 2*omega + 1; -2*omega - 3; -omega + 1; -2*omega
 omega; omega - 2; 2*omega; -omega
 -2*omega - 3; -omega; -omega + 1; omega + 1
 0; -omega - 3; omega - 2; -omega
 -2*omega - 1; -2*omega - 1; 2*omega - 1; omega
 2*omega + 1; omega - 3; -omega - 3; -omega - 1
 -2*omega - 2; -2*omega - 2; 1; omega
 omega - 2; -omega - 4; omega + 2; -omega + 1
 1; -2; -omega - 2; -omega - 1
 omega - 1; -2*omega - 2; omega - 2; -omega + 1
 2*omega - 1; -omega - 4; -omega - 3; -omega
 -4; omega + 1; 2*omega; omega + 2
 omega - 2; omega - 1; -4; 1
 2*omega + 1; -omega - 4; -omega + 1; -2*omega - 1
 -omega - 3; -2*omega - 3; 2*omega + 2; 1
 -1; 2*omega; -omega - 4; omega
 2*omega; 2*omega; -omega - 3; 0
 omega + 2; -omega + 1; omega - 1; -omega - 1
 -omega + 1; -2*omega - 1; omega; -1
 omega + 1; -1; omega + 1; -omega
 omega - 2; -omega - 3; -2*omega - 1; 1
 -1; 2*omega - 1; -omega - 4; omega
 -omega; 2*omega - 1; omega + 1; -1
 -4; -2*omega - 2; omega - 2; 2
 0; -2*omega - 1; omega - 2; -omega
 -2*omega - 2; -2*omega - 1; 2*omega - 1; omega + 1
 -2*omega; -omega + 1; ; omega
 omega - 2; omega + 1; 2*omega; 1
 omega + 1; -omega - 2; omega + 2; -omega
 -3; omega - 3; -omega; 0
 -omega; -omega - 3; 2*omega; 0
 -omega - 3; -2*omega - 3; 2*omega; 1
 2*omega + 2; omega - 2; 2*omega + 1; -2*omega - 1
 omega - 1; -2*omega - 3; 2*omega + 1; -omega + 1
 -omega; 2*omega + 1; -omega - 4; omega - 1
 omega - 2; omega - 2; 0; 1
 omega - 2; 2*omega - 2; ; 0
 2*omega + 1; 2*omega + 1; 2*omega - 1; -omega
 -1; omega + 2; 2; 0
 -2*omega - 2; -2*omega - 2; omega; omega
 omega - 2; 2*omega; -omega; 0
 omega - 1; omega - 2; -3; -omega
 -2; 0; -1; omega + 1
 -2; 2*omega + 2; 2*omega - 2; omega + 1
 omega - 2; 2*omega + 1; omega - 3; omega + 1
 2*omega + 1; -omega - 4; -4; -2*omega - 1
 omega + 1; 0; 2*omega - 1; -omega
 1; -2*omega - 1; 2*omega - 1; -omega
 omega - 2; omega - 2; -omega - 1; 1
 -2*omega - 2; -2*omega - 2; 2*omega + 2; 0
 -omega - 2; -2; -omega + 1; 0
 omega; 0; -2; -omega
 omega - 2; -omega - 3; -omega - 1; -omega + 1
 omega + 2; 2*omega - 1; 2*omega - 1; -omega - 1
 -omega - 3; omega - 2; -4; omega + 1
 -1; -2*omega - 1; -2*omega - 1; 0
 -omega - 3; 0; ; omega + 1
 -omega + 1; -2*omega; -2*omega - 4; -1
 -1; -2*omega - 3; 2*omega + 2; -omega
 -omega; -omega - 4; 2*omega; -omega - 1
 2*omega; -2*omega; -4; -omega + 1
 2*omega; 2*omega + 1; -omega; -omega
 -2; -omega; -2*omega - 4; omega + 1
 2*omega - 2; omega - 3; 0; -omega + 1
 -omega; 2*omega - 1; -2*omega; omega - 1
 omega - 3; -omega - 3; 2*omega - 2; -omega + 1
 -omega; 2*omega; -omega; omega - 1
 -2*omega - 3; -2; -omega - 2; omega
 2*omega + 1; 2*omega + 2; ; 0
 omega + 1; 2*omega; -2*omega - 4; -1
 -omega - 2; omega + 1; -4; omega + 1
 omega - 1; -2*omega - 2; -1; -omega + 1
 omega - 2; omega - 3; -omega - 2; -omega
 0; -omega - 3; -2*omega - 2; 0
 2*omega + 1; -omega - 4; omega - 1; -2*omega - 1
 0; -2*omega - 3; 2*omega + 1; -omega
 -2*omega; -1; -omega + 1; omega - 1
 -4; omega + 2; 2*omega - 1; omega + 2
 -2*omega - 4; 0; -2; 2*omega + 1
 omega + 1; 2*omega + 2; -4; -1
 omega - 2; omega - 2; omega - 1; 1
 2*omega + 2; -1; -2*omega - 2; -omega - 1
 0; 2*omega + 2; ; omega
 -omega; -omega - 2; -omega - 3; -1
 -2; -omega; -3; omega + 1
 2*omega + 2; omega + 1; 2*omega + 1; -omega
 -2; 0; -3; omega + 1
 -2; -omega - 4; -omega - 1; -omega
 omega + 2; -omega; -1; -omega - 1
 omega + 2; omega + 2; omega - 2; -omega - 1
 -omega - 4; 2*omega - 1; -2*omega - 2; 2*omega + 1
 -2*omega - 2; -2*omega - 3; omega - 1; omega
 omega + 2; -2*omega - 3; -omega + 1; -2*omega - 1
 omega + 2; -2*omega - 3; -2*omega - 4; -2*omega - 1
 -2*omega - 3; -omega - 3; -4; omega + 1
 -2*omega - 1; omega - 2; -omega - 2; omega - 1
 -omega; -omega + 1; -2*omega; omega
 -omega - 4; -2*omega - 2; 2*omega + 2; 1
 -1; omega + 2; 2*omega - 2; omega
 -2*omega - 2; omega + 2; -2*omega; 2*omega
 -omega - 2; -2*omega - 3; omega - 3; 1
 -4; omega + 1; -omega - 1; omega + 1
 omega - 3; 2*omega; 2*omega + 1; 1
 omega + 1; 2*omega - 1; -2*omega - 3; -omega - 1
 -3; 0; -omega - 2; omega + 1
 omega + 1; -omega + 1; -omega - 1; -omega
 -omega + 1; 2*omega - 1; -omega - 2; omega - 1
 -omega - 2; omega + 2; 2*omega; omega + 1
 2*omega - 2; -2; omega - 2; -omega + 1
 -4; omega + 1; 2*omega + 2; omega + 2
 omega + 2; -2*omega - 2; -1; -2*omega - 1
 -1; 2*omega; 2*omega + 1; 0
 -omega - 4; -omega; omega - 1; omega + 2
 -1; 2*omega - 1; -omega - 1; omega
 -omega - 2; -omega + 1; ; omega + 1
 2*omega; -omega + 1; -1; -omega + 1
 omega - 3; omega + 2; -2; omega + 1
 -omega - 3; -2*omega - 3; -omega - 3; omega + 1
 -2; -omega; 2*omega + 1; 1
 -2*omega - 3; -omega - 4; 2*omega - 2; omega
 -omega - 2; omega - 3; -4; omega
 omega - 2; omega - 3; 0; -omega
 2*omega - 2; 0; -2*omega - 1; 1
 0; -omega - 3; 2*omega - 1; -omega
 -omega - 3; omega + 2; -omega; 2*omega + 1
 1; -1; omega; -omega - 1
 -3; -2; 1; 1
 -2*omega - 2; omega + 1; -2*omega - 1; 2*omega
 2*omega - 2; -2; 2*omega + 2; -omega + 1
 -omega + 1; -2*omega - 3; 2*omega - 1; -omega - 1
 2*omega - 1; 2*omega + 1; -omega + 1; 1
 -2*omega; -2; 1; -1
 omega + 1; -omega + 1; omega - 1; -omega
 -omega - 4; 2*omega + 1; -omega - 1; 2*omega + 1
 omega + 1; 2*omega - 1; 2*omega; -omega - 1
 omega - 3; 2*omega - 1; omega; 1
 -2; -omega + 1; omega - 1; omega + 1
 -3; -1; -3; omega + 1
 omega - 3; omega + 1; -1; omega + 1
 -omega - 2; omega + 1; 2*omega; omega + 1
 -omega - 3; 2*omega - 1; 2*omega; omega + 1
 2*omega + 2; omega - 2; -omega + 1; -2*omega - 1
 omega + 1; -omega - 3; 2; -omega - 1
 -omega + 1; -2*omega - 1; 0; -1
 2*omega - 2; -omega + 1; -omega + 1; -omega + 1
 omega - 1; -2; -2*omega - 4; -omega
 -1; -omega + 1; -omega; 0
 omega - 2; omega + 1; 2*omega + 1; 1
 -2*omega - 4; -1; -1; 2*omega + 1
 omega - 1; 1; omega; 1
 -omega - 3; omega + 1; omega - 3; 2*omega + 1
 -1; omega + 1; omega + 2; 0
 2*omega - 2; -1; -1; -omega + 1
 -omega + 1; -omega - 3; omega - 3; -1
 -omega - 2; 1; -omega - 4; omega + 1
 1; -2*omega - 3; 2*omega + 2; -omega
 -2*omega - 4; 0; -3; 2*omega + 1
 2*omega; -omega + 1; omega + 2; -omega + 1
 -2*omega - 3; -omega; omega - 1; 2*omega + 1
 -3; 0; 1; omega + 1
 omega - 2; 2*omega + 1; -omega - 3; omega + 1
 2*omega - 1; -2; -2*omega; -omega
 0; -omega - 4; 2*omega - 1; -omega
 -omega - 2; -2*omega - 2; 2*omega + 2; 1
 -3; -1; -2*omega - 4; omega + 1
 omega + 1; 2*omega; omega + 1; -omega - 1
 -4; 0; -omega + 1; omega + 2
 omega - 2; -omega - 1; ; 1
 -omega - 2; omega - 3; 2; 0
 2*omega - 1; 0; -2*omega - 1; 1
 -2*omega - 2; omega + 1; 2*omega + 2; omega
 -omega - 3; omega + 1; omega - 2; 2*omega + 1
 2*omega - 1; -omega; 2*omega + 1; -omega + 1
 omega + 1; -1; 2*omega + 2; -omega
 omega + 2; 2*omega + 1; 2; -omega - 1
 -omega - 3; 2*omega - 1; -2*omega - 3; omega
 omega + 2; -omega - 4; -4; -2*omega - 1
 2*omega - 1; -1; -omega - 2; -omega + 1
 omega + 1; -2; -omega; -omega - 1
 omega - 3; -omega - 4; -2; -omega + 1
 -2*omega - 3; 2*omega - 1; 2*omega + 2; omega
 2*omega - 1; 2*omega + 2; -omega - 2; 1
 -2; 2*omega + 2; omega; omega + 1
 omega - 1; -1; 1; -omega
 -omega; -omega - 3; -3; -1
 2*omega - 1; 2*omega + 2; omega - 2; 1
 omega + 2; -omega + 1; omega + 2; -omega
 -2*omega; omega - 3; 2*omega + 2; -1
 -omega + 1; -2*omega - 2; -omega - 1; -omega - 1
 omega - 2; -omega - 3; 2*omega - 1; -omega + 1
 2*omega + 1; 2*omega + 1; 0; -omega
 -2*omega - 2; omega + 1; -2*omega - 4; 2*omega
 1; -2*omega - 1; 2*omega + 2; -omega
 -2*omega; -2*omega - 2; -2*omega - 3; -1
 -omega; 2*omega; -4; omega - 1
 -2; 2*omega + 2; -omega - 1; omega + 1
 -2*omega - 1; omega + 1; 2; omega
 -2*omega - 3; omega - 1; ; omega
 -2*omega - 2; -omega + 1; 2*omega + 2; omega + 1
 0; 2*omega - 1; omega - 1; -1
 -1; omega + 2; omega + 2; 0
 omega - 1; -2*omega - 2; 2*omega - 1; -omega + 1
 -2*omega - 1; -2*omega - 4; ; 0
 omega - 3; omega + 1; omega - 2; omega + 1
 2*omega; 2*omega - 1; -omega - 1; -omega
 -2*omega - 1; omega - 1; -2; omega
 -2*omega - 2; -omega - 3; -omega - 3; omega
 omega - 1; omega + 2; 2*omega; 1
 omega - 2; -2*omega - 2; omega + 2; -omega + 1
 2*omega - 1; -omega + 1; -omega - 3; 1
 2*omega + 2; omega - 3; omega; -2*omega - 1
 -omega - 3; -2*omega - 1; 2*omega; omega + 1
 omega - 3; 2*omega + 1; omega + 1; 1
 omega - 2; omega - 2; 2*omega + 1; 1
 omega + 1; -omega - 4; -2*omega; -2*omega - 1
 2*omega - 1; -omega - 4; -2*omega - 2; -omega
 1; -2; omega - 1; -omega - 1
 -2*omega; -2*omega - 3; -4; -1
 omega - 3; omega + 1; omega + 2; 1
 omega; -omega + 1; -2; -omega
 -2*omega - 4; omega - 3; -omega - 4; omega
 -2; 2*omega; -omega + 1; omega
 -1; -omega - 4; 2*omega + 2; -omega
 omega + 2; -omega; 0; -omega - 1
 omega + 2; -omega; omega + 2; -omega - 1
 -2*omega - 3; -1; -omega; omega
 omega; -omega + 1; -1; -omega
 omega - 2; -2*omega - 1; omega + 2; -omega + 1
 2*omega; -omega; 2; -omega + 1
 -omega - 1; -2; 2*omega - 2; omega
 -omega - 1; 0; -2*omega; omega
 omega - 1; omega - 3; -2; -omega
 0; 2*omega; -omega; -1
 -2; 2*omega - 1; -omega + 1; 0
 -1; omega + 2; -1; omega
 -omega - 4; 2*omega; -2*omega - 2; 2*omega + 1
 -omega + 1; -2*omega; omega + 2; 0
 1; -2*omega; ; 0
 1; 0; 2*omega - 2; 0
 -2*omega; omega + 2; -2; omega - 1
 -2; -omega - 2; omega + 2; 1
 2*omega - 1; 0; -omega - 4; 1
 omega - 2; 2*omega - 1; 2; 1
 -2*omega; omega - 1; ; omega - 1
 2*omega - 1; -omega - 2; omega - 2; -omega + 1
 omega + 2; -omega; omega - 1; -omega - 1
 omega - 3; omega + 2; omega - 2; omega + 1
 2*omega - 1; -2*omega - 1; ; -omega + 1
 omega - 1; 1; omega + 2; 1
 -2*omega - 1; omega - 3; omega + 1; -1
 2*omega - 2; omega - 3; omega; -omega + 1
 -omega - 3; omega - 2; -omega - 3; omega
 omega + 1; 2*omega; 0; -omega - 1
 omega - 1; omega - 2; -1; -omega
 -omega; 2*omega - 2; ; -1
 1; omega + 1; omega; -1
 -3; 2*omega - 1; ; omega + 1
 -omega + 1; -2*omega - 3; omega - 1; -omega - 1
 1; -2*omega - 2; 2*omega + 1; -omega
 -2*omega - 3; 2*omega + 2; -omega - 4; 2*omega + 1
 omega + 1; -omega - 3; -2*omega - 4; -omega - 1
 2*omega + 2; omega + 1; -2*omega; -omega - 1
 omega + 1; 2*omega + 1; -2*omega - 2; -1
 2*omega; omega + 1; -2*omega - 2; -omega
 2*omega; 2*omega; 2; -omega
 -omega - 3; omega - 1; -2*omega - 4; omega + 1
 omega - 2; -2*omega - 1; omega - 1; -omega + 1
 omega + 1; -omega - 4; omega - 1; -2*omega - 1
 -omega; 2*omega - 1; 2*omega - 1; -1
 -2*omega - 1; -2*omega - 3; -2*omega; omega
 0; -2*omega - 3; -omega - 3; -omega
 -omega + 1; 2*omega + 1; -1; omega - 1
 2*omega - 1; 2*omega; -omega; -omega
 -4; 0; 1; omega + 2
 omega; -1; omega - 2; -omega
 -3; omega - 2; -omega - 1; omega + 1
 -2*omega - 2; -omega - 4; -2*omega; omega
 -1; -omega - 3; omega - 3; 0
 -1; -omega - 4; -omega - 1; -omega
 omega - 3; -omega - 3; -omega - 4; 1
 omega - 2; omega + 1; -4; omega + 1
 2*omega - 2; omega - 2; omega; -omega + 1
 2*omega - 1; -1; omega - 3; -omega + 1
 omega + 2; -2*omega - 2; 0; -2*omega - 1
 omega - 3; -2*omega - 3; 2*omega + 1; -omega + 1
 2*omega; -omega - 3; 2; -2*omega
 -1; -2*omega - 2; 2*omega - 1; -omega
 -2*omega - 2; -2*omega - 3; -omega; 0
 2; omega - 2; -2; -omega - 1
 -1; omega + 2; -2*omega - 1; omega
 -omega - 4; 2*omega - 1; omega + 2; omega + 1
 omega - 1; -2*omega - 4; ; -omega
 -2*omega; -2*omega - 1; 2*omega - 1; omega
 omega - 2; omega + 2; omega + 2; 1
 -omega - 1; -4; -2; 0
 1; omega + 1; 1; -1
 -omega - 3; 2*omega; -omega - 1; omega + 1
 -2*omega; -2*omega - 3; -omega - 3; -1
 -2*omega - 3; -omega; -2*omega; 2*omega + 1
 omega + 1; -omega - 3; omega + 2; -omega
 omega - 1; omega + 1; -2*omega; 0
 -omega - 4; omega + 1; -2*omega - 1; 2*omega + 1
 -3; -omega; 1; 1
 -2; 2*omega + 2; omega - 1; omega + 1
 omega + 1; 1; ; 0
 -omega - 3; -omega - 4; -2*omega - 1; 0
 omega + 2; -omega - 3; 2; -2*omega - 1
 2*omega + 1; omega - 1; -omega - 1; -omega - 1
 omega + 2; -omega - 3; -2*omega - 3; -omega - 1
 -1; -omega + 1; -2*omega; 0
 -omega; 2*omega + 2; -omega - 2; omega - 1
 -omega - 3; -2*omega - 1; -2; omega + 1
 -omega - 2; -2*omega - 2; 2*omega - 2; 1
 -omega - 4; omega + 1; -omega + 1; omega + 1
 -4; -2*omega - 1; 2*omega + 2; 2
 omega + 2; omega - 3; ; -omega - 1
 omega - 3; -2*omega - 2; -2*omega - 3; 1
 omega - 2; -2; ; 1
 -2*omega - 2; 2*omega + 1; omega; 2*omega
 2*omega + 2; -2; omega - 1; -2*omega - 1
 -4; 1; 2; omega + 2
 -omega - 2; -2*omega - 2; -2*omega - 2; 0
 omega + 1; 2*omega; 2*omega; -omega - 1
 -omega - 2; -2*omega - 1; 2*omega; omega + 1
 -3; -1; -2*omega - 2; omega + 1
 -omega - 2; 1; 2*omega + 2; omega + 1
 omega + 2; 2*omega - 1; omega; -omega - 1
 -omega + 1; omega + 2; -2*omega - 4; omega - 1
 omega + 1; 2*omega - 1; -omega - 1; -omega - 1
 2*omega + 1; -2*omega - 2; omega + 2; -2*omega
 -omega + 1; 2*omega - 1; -omega + 1; -1
 -omega - 4; -2*omega - 3; -omega - 3; omega + 1
 -2*omega - 3; -omega; 2; omega + 1
 2*omega - 2; -4; -2*omega; -omega + 1
 -2*omega; -2*omega - 1; omega - 2; omega
 2*omega; 2*omega - 1; 0; -omega
 -omega; -1; 0; -1
 2; -2; omega - 1; -omega - 1
 -2*omega - 2; -omega; omega - 1; omega + 1
 omega; -4; -2*omega - 4; -omega - 1
 2*omega - 1; -omega - 3; -2*omega; -omega + 1
 -3; -4; -1; 1
 -2*omega - 1; -2*omega - 1; -omega; omega
 -2*omega - 3; 2*omega; omega - 3; 2*omega
 omega - 1; 1; -omega - 3; 1
 2*omega - 2; 0; -2*omega - 4; 1
 omega - 3; 2*omega + 1; -omega - 1; omega + 1
 omega + 2; -omega; -omega - 2; -omega - 1
 -omega - 3; 2*omega - 1; 2*omega - 2; omega + 1
 omega + 1; 2*omega + 2; 2*omega + 2; 0
 -omega - 1; -omega + 1; -2*omega - 3; omega
 -omega + 1; omega + 2; 2*omega - 1; -1
 -omega + 1; -2*omega; 2*omega + 1; 0
 0; omega + 1; omega - 3; omega
 2*omega + 1; -omega - 3; omega + 2; -2*omega
 omega - 1; 0; -2*omega - 1; 0
 2; -omega + 1; -omega - 4; -1
 -2*omega - 2; 2*omega + 1; -omega - 4; 2*omega
 -2*omega; -1; -4; omega - 1
 2*omega - 2; -omega + 1; -2*omega - 4; 1
 omega; 0; 2*omega; -omega
 0; omega - 2; 1; -1
 -2*omega - 3; -omega - 2; -2*omega - 4; omega + 1
 -omega - 4; 2*omega; -omega - 3; 2*omega + 1
 -1; omega + 2; -omega - 2; omega
 -omega - 1; -2*omega; ; 0
 0; 2*omega - 1; 2*omega - 2; -1
 -2*omega; -2*omega - 3; 2*omega - 1; 0
 -2*omega; 0; -4; omega - 1
 1; -2; 2*omega; -omega - 1
 omega - 1; -1; -2*omega - 2; 0
 2*omega - 1; -omega - 3; -3; -omega + 1
 omega + 1; 2*omega + 1; 2*omega + 2; 0
 -2*omega; omega - 3; -omega; omega - 1
 omega - 3; omega + 2; omega + 2; 1
 -omega - 3; 2*omega; -2*omega; omega
 -1; -2*omega - 2; omega; -omega
 -2*omega - 2; -omega - 4; 2*omega - 2; omega
 -omega - 2; -1; -omega - 2; omega
 -omega; 2*omega + 2; omega - 1; omega
 2*omega - 1; -omega; 2*omega + 2; -omega + 1
 1; -omega + 1; ; 0
 0; -omega - 4; -omega - 1; -omega - 1
 omega + 1; -omega + 1; -omega + 1; -omega
 -omega - 1; -4; 1; 0
 -4; 0; 2*omega + 1; omega + 2
 2*omega; 2*omega + 1; omega - 3; 0
 2*omega + 2; -2*omega - 2; omega + 1; -2*omega
 2*omega - 1; -1; 2*omega + 1; -omega + 1
 -4; -2; 2; 1
 -2*omega; -1; 2*omega - 1; -1
 0; -omega - 4; -omega - 3; -omega - 1
 1; -2*omega - 2; -omega + 1; -omega - 1
 -1; 2*omega - 2; ; 0
 -2*omega - 3; 0; -omega - 1; 2*omega + 1
 omega - 2; -2*omega - 1; 2*omega + 1; -omega + 1
 -omega - 1; -1; 2*omega + 2; 0
 -omega; -2; omega + 1; -1
 omega - 2; omega - 3; 2*omega + 1; -omega
 2*omega + 2; 0; omega - 2; -omega
 2*omega; -2*omega - 2; 2; -2*omega
 -2*omega - 1; omega + 1; -2; 2*omega
 -1; -2*omega - 2; -1; -omega
 -2*omega; omega - 3; -1; omega - 1
 -2*omega - 4; -1; -2*omega - 2; 2*omega + 1
 omega - 2; omega - 2; -2*omega - 4; 0
 omega - 3; 2*omega - 1; -omega; 1
 -2*omega - 4; -4; 0; omega + 1
 omega; -omega + 1; -omega + 1; -omega
 -omega - 1; omega - 2; -4; omega
 2*omega; -omega; omega - 2; -omega + 1
 -omega - 3; omega + 2; omega - 2; 2*omega + 1
 -2*omega - 1; 2*omega; -omega; omega - 1
 -2*omega - 2; -omega + 1; -omega - 2; omega + 1
 -omega - 2; -2*omega - 2; 1; 1
 1; 0; 2; -1
 -omega; 2*omega + 2; -2; omega
 1; omega - 2; -omega + 1; -omega - 1
 2*omega; -2*omega - 1; 2*omega + 2; -omega + 1
 omega - 3; -2*omega - 2; -3; -omega + 1
 -4; omega - 2; -omega - 1; omega + 1
 omega - 2; omega - 2; -2; 1
 -2*omega; omega - 3; omega - 1; omega - 1
 2*omega - 1; -omega; 2; -omega + 1
 omega - 1; omega - 3; -3; -omega
 -1; -2*omega - 1; omega - 2; 1
 -omega - 4; -2*omega - 2; -omega - 4; omega + 1
 -omega - 1; -4; omega - 2; 0
 -2*omega - 1; -2*omega - 2; -3; omega
 0; 2*omega; omega - 1; -1
 1; -1; -omega - 1; -omega - 1
 -1; 2*omega; -omega - 1; omega
 omega + 2; -omega + 1; -omega - 3; -omega - 1
 omega - 2; 2*omega; -2*omega - 1; 0
 2*omega + 1; 2*omega + 1; -omega - 3; 0
 2*omega + 1; omega + 1; omega - 2; -omega
 omega + 1; 2*omega + 1; -2*omega - 4; -1
 -omega - 4; -omega + 1; -3; omega + 2
 omega + 2; -2*omega; omega + 1; -omega
 -omega - 4; 2*omega + 1; omega + 2; omega + 1
 -1; -omega - 3; 1; -omega
 -2; 0; omega; omega + 1
 0; -2*omega - 3; -4; -omega
 2*omega + 2; omega - 3; 2*omega - 1; -2*omega - 1
 2*omega + 1; omega + 1; -omega + 1; -omega
 2*omega + 2; -2*omega - 2; -omega - 2; -2*omega - 1
 -omega - 1; omega - 2; -omega - 3; omega
 omega + 2; -omega; -omega - 1; -omega - 1
 -omega - 3; 2*omega; 2*omega + 2; omega + 1
 -omega + 1; omega + 1; 0; -1
 -omega; -omega - 2; omega + 1; 0
 2*omega - 1; 1; ; 1
 -omega - 3; omega - 2; -2*omega; omega + 1
 -1; 2*omega - 1; -4; omega
 omega + 1; -omega - 3; 2*omega + 1; -omega
 2*omega; -2*omega - 2; -2*omega - 4; -omega
 omega + 1; -omega - 3; -2*omega; -omega - 1
 omega - 2; omega - 3; omega - 3; -omega
 omega - 1; -2*omega - 1; omega + 1; -omega + 1
 omega + 2; -2*omega - 3; -2*omega - 2; -2*omega - 1
 omega + 2; -omega; omega; -omega - 1
 -2*omega - 1; 2*omega - 1; omega - 1; omega - 1
 -4; -2*omega - 3; omega + 2; 2
 omega; omega - 3; -2*omega - 4; -omega - 1
 2*omega + 1; -2*omega - 3; -2*omega; -2*omega
 2*omega + 2; -2*omega - 3; -omega - 4; -2*omega - 1
 -2; -omega - 2; 1; 1
 omega + 1; -omega - 2; -2; -omega
 2*omega - 1; -2; omega + 1; -omega + 1
 -omega - 3; omega - 1; -2; omega + 1
 omega + 2; 2*omega - 1; -1; -omega - 1
 -2*omega - 2; -omega - 4; -omega - 3; omega
 -omega - 4; 2*omega - 1; omega - 1; 2*omega + 1
 -2*omega - 1; -2*omega - 3; -2*omega - 2; omega
 -2*omega - 2; 2*omega - 1; -omega + 1; omega
 -2*omega - 2; -omega + 1; 2*omega; omega + 1
 -omega - 2; omega - 2; omega - 2; omega
 omega + 2; -2*omega - 1; 2*omega + 1; -omega
 2; -omega; omega - 3; -omega - 1
 -omega - 4; -2*omega - 3; -omega - 1; omega + 1
 -2*omega - 3; -omega; -omega - 4; 2*omega + 1
 omega - 2; omega - 3; omega - 1; -omega
 -2; -omega; 1; 1
 omega; -4; omega - 2; -omega
 -2*omega - 2; omega + 1; -omega - 3; 2*omega
 -omega; -1; 2*omega + 2; 0
 2; -omega; 1; -omega - 1
 -omega; -1; -2*omega - 3; -1
 2*omega - 1; -omega; 0; -omega + 1
 omega - 2; 2*omega - 1; -2*omega - 4; 0
 -3; -omega + 1; -omega - 2; omega + 1
 omega - 3; omega + 2; 2*omega; 1
 -2*omega - 2; omega + 1; 0; omega
 -omega - 4; -2*omega - 3; omega; 1
 -2*omega - 2; -2*omega; -omega; omega + 1
 omega + 1; -1; omega - 2; -omega - 1
 -3; -4; 2*omega - 1; 1
 -2*omega; omega + 1; 2*omega + 1; omega
 omega; omega; ; 0
 -2*omega - 3; -2; -omega; omega
 -2*omega - 4; -2; omega - 3; 2*omega + 1
 -2*omega - 1; -2*omega - 1; 2*omega; omega
 -omega - 3; 2*omega; omega - 3; omega + 1
 -2*omega - 4; -omega; -omega + 1; omega + 1
 -omega - 3; -2*omega - 2; omega; omega + 1
 1; omega + 2; omega; -1
 2*omega - 1; -1; 1; -omega + 1
 omega - 3; omega + 2; -omega - 4; omega + 1
 -omega - 4; -2*omega - 3; -omega + 1; 1
 -3; -2; -omega + 1; 1
 -2*omega - 1; omega - 3; 2*omega + 2; -1
 omega; omega - 3; -omega - 1; -omega - 1
 -2*omega - 4; -2; -omega - 4; 2*omega + 1
 omega; -2; omega + 2; -omega
 2; -omega; -omega - 3; -omega - 1
 2; 0; omega - 1; -omega - 1
 2*omega; -omega - 4; -omega + 1; -2*omega
 0; 2*omega; -omega - 3; -1
 2*omega + 1; -2*omega - 3; -omega - 1; -2*omega
 -2*omega - 3; 2*omega - 1; omega - 2; 2*omega
 2*omega + 1; 2*omega + 1; omega + 2; -omega
 0; omega - 3; -omega - 2; -omega - 1
 -2; 2; ; omega + 1
 -omega - 3; 2*omega + 1; -3; 2*omega + 1
 -omega; -2; -2; -1
 omega + 2; -2*omega; 2*omega + 1; -omega
 -omega - 3; -omega - 3; omega; omega + 1
 2*omega + 2; omega + 2; -omega - 2; -omega - 1
 -omega - 1; -omega; 2*omega - 1; 0
 -2; 2*omega - 1; omega - 2; omega
 -2*omega - 2; -2*omega - 1; -omega - 4; omega
 -2*omega - 3; -omega - 4; -omega - 2; omega
 omega; -1; -omega; -omega
